,id,name,name_id,content,timestamp,channel,language,category,vect,logit_predict,Mnb_predict,tree_predict,rf_predict,bg_predict,knn_predict,nn_predict
1716,5.475307919119484e+17,Ashirav,3301,"From the list of commands, choose any starter pokemon, which is like pikachu for ash. After that, just follow the commands in <#558337496333680676> . 
And, do this in the Pokemon labelled chatroom. You will need access to that chatroom. For the access, see the server-info titled chatroom.",2019-12-07T10:32:32Z,discord-question,,,[0. 0. 0. ... 0. 0. 0.],east,east,east,east,east,east,east
1717,2.5725334398081437e+17,Tsusagi,3016,In any chatroom?,2019-12-07T10:31:34Z,discord-question,,,[0. 0. 0. ... 0. 0. 0.],east,east,east,east,east,east,east
1718,5.475307919119484e+17,Ashirav,3301,<@257253343980814337> First you need to have a starter pokemon using p!pick command,2019-12-07T10:30:29Z,discord-question,,,[0. 0. 0. ... 0. 0. 0.],east,east,east,east,east,east,east
1719,3.6370126773603526e+17,dg,7162,"Documentations of most of the commands that you can use, including those from unbelievaboat bot.",2019-12-07T10:25:34Z,discord-question,,,[0. 0. 0. ... 0. 0. 0.],east,east,east,sea,east,east,sea
1720,3.6370126773603526e+17,dg,7162,<#558337496333680676>,2019-12-07T10:24:42Z,discord-question,,,[0. 0. 0. ... 0. 0. 0.],east,east,east,east,east,east,east
1721,2.5725334398081437e+17,Tsusagi,3016,How do I play games on this server?,2019-12-07T10:23:48Z,discord-question,,,[0. 0. 0. ... 0. 0. 0.],east,east,east,east,east,east,east
1722,5.475307919119484e+17,Ashirav,3301,Oh ok! Thank you!,2019-12-07T05:51:16Z,discord-question,,,[0. 0. 0. ... 0. 0. 0.],east,east,east,east,east,east,sea
1723,6.120854828131287e+17,Parasanity,6882,"<@547530791911948328> the in server economy roles, not the main ones but the ones in the shop that are dedicated to the mods and lord of the snails 🐌",2019-12-07T05:49:06Z,discord-question,,,[0. 0. 0. ... 0. 0. 0.],east,east,east,east,east,sea,east
1724,5.475307919119484e+17,Ashirav,3301,"<@612085482813128715> hi, what do you mean by mods loves refill",2019-12-07T05:46:07Z,discord-question,,,[0. 0. 0. ... 0. 0. 0.],east,east,east,east,east,east,east
1727,6.120854828131287e+17,Parasanity,6882,How do we know when the mods loves refill?,2019-12-07T03:22:34Z,discord-question,,,[0. 0. 0. ... 0. 0. 0.],east,east,east,eu,east,east,east
1728,4.562265777981358e+17,Deleted User,0,It is for diary entry when you reach Yukiyama Hill peak,2019-12-07T02:17:39Z,discord-question,,,[0. 0. 0. ... 0. 0. 0.],sea,sea,east,eu,east,east,sea
1729,5.1606723341634765e+17,tulabella,9485,fuck im sorry i thought this was tsuki questions,2019-12-06T23:39:32Z,discord-question,,,[0. 0. 0. ... 0. 0. 0.],east,east,east,sea,east,east,sea
1730,5.1606723341634765e+17,tulabella,9485,is the glider worth it,2019-12-06T23:37:22Z,discord-question,,,[0. 0. 0. ... 0. 0. 0.],east,sea,east,east,east,east,sea
1731,5.475307919119484e+17,Ashirav,3301,discord.gg/tsuki thanks for this!,2019-12-06T07:06:12Z,discord-question,,,[0. 0. 0. ... 0. 0. 0.],east,east,east,east,east,east,eu
1732,4.7644614963350726e+17,JollyHyuga,2079,Thank you so much!,2019-12-04T15:37:49Z,discord-question,,,[0. 0. 0. ... 0. 0. 0.],east,east,east,east,east,east,east
1735,4.7644614963350726e+17,JollyHyuga,2079,"Hello, how can I invite my friend to this discord servet?",2019-12-04T15:34:17Z,discord-question,,,[0. 0. 0. ... 0. 0. 0.],east,east,east,east,east,east,east
1749,6.120854828131287e+17,Parasanity,6882,Maybe developers/mods can pin Tsuki suggestions that are interesting as keepsakes? Plus so no confusion on what’s already been suggested?,2020-01-19T03:26:49Z,discord-suggestion,,,[0. 0. 0. ... 0. 0. 0.],east,east,east,east,east,east,east
1753,3.6370126773603526e+17,dg,7162,"It would be really nice if <#558348618059218973> could get updated with some of the newer questions, the last one has been falling behind pretty much by now.",2019-12-22T13:18:36Z,discord-suggestion,,,[0. 0. 0. ... 0. 0. 0.],sea,east,sea,sea,sea,east,sea
1754,2.442311072713277e+17,Bubbles,7542,I wonder if renaming the server-questions channel to discord-questions would help cut down on people posting tsuki questions in the wrong place all the time,2019-12-23T18:01:57Z,discord-suggestion,,,[0. 0. 0. ... 0. 0. 0.],east,east,east,sea,east,sea,sea
1755,6.417876429331497e+17,Here There Be Dragons,8771,I think it would be great if a fishing location was added to The Big City.,2020-01-05T10:38:55Z,discord-suggestion,,,[0. 0. 0. ... 0. 0. 0.],east,east,east,sea,east,east,east
1759,4.562265777981358e+17,Deleted User,0,"Also it can be under village central, haha",2019-12-09T03:34:05Z,discord-suggestion,,,[0. 0. 0. ... 0. 0. 0.],east,east,east,east,east,east,east
1760,4.562265777981358e+17,Deleted User,0,"Hello there, I think it will be good if we set up a new discord channel here for work and study discussion, maybe we can share what are the problems / solutions we deal with at work and study, so we may help those in trouble in dealing wih them.
Dunno if you guys want it, it is just a suggestion",2019-12-09T03:26:37Z,discord-suggestion,,,[0. 0. 0. ... 0. 0. 0.],east,east,east,east,east,east,east
1763,3.1013792377523405e+17,Angel_Assistant,8892,"My bad, if I should delete it and move it over I will but my first comment was an intended suggestion for economy or Casino",2019-12-04T06:39:02Z,discord-suggestion,,,[0. 0. 0. ... 0. 0. 0.],east,east,east,east,east,east,east
1766,3.1013792377523405e+17,Angel_Assistant,8892,This was a suggestion for the server but I suppose it works as one for the app as well,2019-12-04T06:35:07Z,discord-suggestion,,,[0. 0. 0. ... 0. 0. 0.],east,east,east,east,east,east,sea
1769,3.1013792377523405e+17,Angel_Assistant,8892,A tic tac toe or rock paper scissor game where you can choose difficultly between 3 different villagers/characters. Can win low amounts carrots that increase with each difficultly! <:yaycarrots:558332067306405914>,2019-12-04T06:24:56Z,discord-suggestion,,,[0. 0. 0. ... 0. 0. 0.],east,east,east,east,east,east,east
1772,2.612348863947735e+17,helena,7547,Can some new languages be added to <#558270844435038218>? I’d love for my language (dutch) to be included :3,2019-11-28T12:48:02Z,discord-suggestion,,,[0. 0. 0. ... 0. 0. 0.],east,east,east,east,east,east,east
1773,6.781854347147346e+17,lucy,5155,"Hi! I'm from Korea, I been playing tsuki almost 1 and half years, It had been my happiness since I found it. I really like the atmosphere, the slow and healing theme.",2020-02-15T10:41:16Z,introduction,,,[0. 0. 0. ... 0. 0. 0.],sea,east,sea,sea,sea,east,sea
1774,4.663920593102439e+17,xflameshadow,4985,Hi I'm from HK! I've played Tsuki for a long time (almost 3 years) but I've changed phones a lot hehe. Tsuki is really great and I love the music~ 🙂,2020-02-15T11:22:46Z,introduction,,,[0. 0. 0. ... 0. 0. 0.],east,east,sea,east,sea,east,eu
1775,5.67038216667136e+17,HeureuxFelice,5294,"Hi, I'm Sing from Malaysia. I found this game from Play store while looking for healing game. I have been playing this game for more than a year <:hug:589655063027253288>",2020-02-15T16:16:14Z,introduction,,,[0. 0. 0. ... 0. 0. 0.],east,east,east,east,east,east,east
1778,4.322732693123236e+17,rickerbh,9626,"Hi, I’m from Australia. Been playing Tsuki for a few months now. I love the no pressure atmosphere of it.",2020-02-13T08:25:14Z,introduction,,,[0. 0. 0. ... 0. 0. 0.],east,east,east,east,east,east,sea
1779,4.3978378493034496e+17,selcouth,213,"Hi, i’m Jess fro Indonesia. i’ve been obsessed with this game lately cause the game is VERY relaxing.",2020-02-13T04:24:44Z,introduction,,,[0. 0. 0. ... 0. 0. 0.],east,east,east,east,east,east,east
1780,6.698456319966577e+17,pumpkin,2607,"Hi!! I'm from New Zealand and I've been playing tsuki for a while now, but I only got discord recently. TSUKI IS JUST SO CUTE and the game is so relaxing. Plus I love the music.",2020-02-13T04:07:51Z,introduction,,,[0. 0. 0. ... 0. 0. 0.],east,east,east,east,east,east,east
1781,4.620550449261445e+17,bones blue,2854,"Hi, I’m bones or Honey, I found this app a few weeks ago and joined this discord after experiencing a bug, but I’m looking forward to sticking around and contributing however i can! I love the app and am constantly impressed by the app devs hard work <:hug:589655063027253288>  thank you !!",2020-02-13T02:15:56Z,introduction,,,[0. 0. 0. ... 0. 0. 0.],east,east,east,east,east,east,east
1782,6.544191716893655e+17,XL,4735,Hi I’m Snow; just got this game this month and fell in love with the cuteness of the game! I even got my sister playing!,2020-02-12T05:42:34Z,introduction,,,[0. 0. 0. ... 0. 0. 0.],east,east,east,east,east,east,east
1783,2.6678501159482163e+17,LittleMouse,244,"Hello everyone! My name’s Jenny, though I go by Mouse a lot too. I’m from the Pacific Northwest corner of the United States! This game was recommended to me on the AppStore maybe two weeks ago. I love playing it since it’s so easygoing. Happy to be here!",2020-02-12T02:01:07Z,introduction,,,[0. 0. 0. ... 0. 0. 0.],east,east,east,sea,east,east,sea
1785,2.4712941788371357e+17,CivettictisChoco,768,"Hey, I'm Choco from Italy and I've been playing this game for a looong time, I dont even remember when I started! Maybe 2018...?",2020-02-09T14:25:28Z,introduction,,,[0. 0. 0. ... 0. 0. 0.],east,east,east,east,east,east,east
1786,2.4339809137655808e+17,bllueart,7561,"Hi, I'm Alexandra but I also go by blue/blu (no caps). I'm from Romania, Europe and I've just started playing last night <:hug:589655063027253288>",2020-02-08T17:26:39Z,introduction,,,[0. 0. 0. ... 0. 0. 0.],east,east,east,east,east,east,east
1787,2.0696425193865216e+17,Unbid,4315,"Hello, Unbid here from the southeast part of Asia. Been playing for a month now thanks to a friend",2020-02-07T17:08:13Z,introduction,,,[0. 0. 0. ... 0. 0. 0.],east,east,east,sea,east,east,east
1788,6.022370440343716e+17,DeRpY_EdiToR,7872,"Hallo! My name is Anni from Maryland. I’ve been playing Tsuki for about 4 months, and I got obsessed with it after a few weeks. I love this game, tsuki, and Mr. Duck. <:quacker:583839027632013316>",2020-02-07T14:41:18Z,introduction,,,[0. 0. 0. ... 0. 0. 0.],east,east,east,east,east,east,east
1789,6.750284377942917e+17,sarahk76,4061,"Hi! I'm Sarah from Indiana, USA. I've been play Tsuki for a year now. I love this little bunny 🐰",2020-02-06T17:44:45Z,introduction,,,[0. 0. 0. ... 0. 0. 0.],east,east,east,east,east,east,eu
1791,5.0528553343870566e+17,CHEESE IT- IT'S AIZAWA!,4710,"Hello I’m Olivia . I’m from Illinois, USA.  I started playing Tsuki about 8 days ago. It really helps me to feel sleepy in the evenings. Glad to have found this server. 🥰",2020-02-04T05:00:24Z,introduction,,,[0. 0. 0. ... 0. 0. 0.],east,east,sea,sea,east,east,east
1792,6.052770245794857e+17,aang229,2239,"Hi! I'm from PH. Just accidentally found this game in 2018; but due to technical issues, have to reinstall the game and started from scratch last January 21st. <:pepesad:558329671851311120>  I really love this game. So thankful to the developers. <:hug:589655063027253288>",2020-02-04T03:57:11Z,introduction,,,[0. 0. 0. ... 0. 0. 0.],sea,sea,eu,sea,sea,east,east
1793,6.73905483517526e+17,Trina93,1258,Hi! I’m Katrina from the USA,2020-02-03T15:16:51Z,introduction,,,[0. 0. 0. ... 0. 0. 0.],east,east,east,east,east,east,east
1795,4.221890780295332e+17,AlyssaRenee9697,1982,Hello I am m Alyssa from USA. I've had this game before. I recently redownloaded. Never realized there was so much to it so here I am trying to find more info. Thank you.,2020-02-01T11:22:36Z,introduction,,,[0. 0. 0. ... 0. 0. 0.],east,east,east,east,east,east,east
1796,2.907479312110715e+17,yanqi,1796,Hi! I’m yanqi from Singapore 🙂 just started playing Tsuki Adventures recently when I was finding some chill games to play and I love it already ☺️,2020-02-01T06:33:12Z,introduction,,,[0. 0. 0. ... 0. 0. 0.],east,east,east,east,east,east,east
1797,3.2589583384733286e+17,haidiw,5336,"Hi I'm haidiw from America, I've had this game for a while but just recently joined the discord",2019-12-31T19:48:49Z,introduction,,,[0. 0. 0. ... 0. 0. 0.],east,east,east,east,east,east,east
1798,6.617305805889208e+17,MizAmi,5529,"Hey, I’m Ami from NY 👋 I got totally addicted to this game a few weeks ago and now, check it way too often every day lol 🥕 ❤️ 🐰  it’s super chill, relaxing game and it’s cute to see what adventures Tsuki and his friends get up too",2020-01-01T00:53:13Z,introduction,,,[0. 0. 0. ... 0. 0. 0.],east,east,east,east,east,east,east
1799,6.339684201610609e+17,chloe222001,1533,"Hey, I'm Chloé from France and I really love this game. It's just so relaxing.",2020-01-01T02:51:04Z,introduction,,,[0. 0. 0. ... 0. 0. 0.],east,east,sea,east,sea,east,east
1802,6.613034838944645e+17,amethysts2,31,"Hi this is amethyst from Canada, I downloaded this game because the app store thought I would like it, indeed I do.😊  Been playing for two weeks now😆",2019-12-31T02:08:55Z,introduction,,,[0. 0. 0. ... 0. 0. 0.],east,east,east,east,east,east,east
1803,3.396733987478569e+17,BecksRJR,2042,"Hi! I'm Becks, I've been playing for a while but just found this discord. <:entry1:560350822253461505>",2019-12-31T00:36:19Z,introduction,,,[0. 0. 0. ... 0. 0. 0.],east,east,east,east,east,sea,sea
1804,6.384623862311813e+17,Icarus,2174,Hello! I’m Icarus from the U.S. I found Tsuki on the App Store and it looked neat!,2019-12-30T23:47:11Z,introduction,,,[0. 0. 0. ... 0. 0. 0.],east,east,east,east,east,east,sea
1808,2.962846922468229e+17,enui,7408,"Hello 👋 I'm Enrica, from Italy, and this game is the cutest!",2019-12-28T16:18:44Z,introduction,,,[0. 0. 0. ... 0. 0. 0.],east,east,east,east,east,east,east
1809,2.952795681498071e+17,ダニ (◕▿◕✿) (Dani),6155,Hello!~ My name is Daniella (I prefer to be called Dani) I started playing this game like the beginning of the year I think and I’m so in LOVE with this game!~ -//3//-,2019-12-28T00:13:23Z,introduction,,,[0. 0. 0. ... 0. 0. 0.],east,east,east,east,east,east,east
1811,6.074486389139048e+17,ko,3884,"Hey, I'm from Canada and I found Tsuki on the app store a few months ago. It's very cute <:yee:558330651367964692>",2019-12-27T00:42:50Z,introduction,,,[0. 0. 0. ... 0. 0. 0.],east,east,east,east,east,east,sea
1812,6.30501385712042e+17,nutellaaa,7007,"Hello, I’m Lisa from the uk
This game is so cute and I love how adorable Tsuki always looks!",2019-12-27T00:16:54Z,introduction,,,[0. 0. 0. ... 0. 0. 0.],east,east,east,east,east,east,east
1813,4.573014296365629e+17,☆Pιкαcнυ☆,3341,"Um... Hi, I'm Amelia from Poland
(my English is not very good)
I Just try this game... And this is fantastic >^<
<:entry3:560350894646886441>",2019-12-26T22:42:58Z,introduction,,,[0. 0. 0. ... 0. 0. 0.],east,east,east,east,east,east,east
1814,2.8644306917851136e+17,Trifox pooplord,754,"Hi! I'm Roxane from France
I've seen this game on the playstore and decided to try it, and I'm really happy about that decision :)",2019-12-26T12:59:56Z,introduction,,,[0. 0. 0. ... 0. 0. 0.],east,east,sea,east,sea,east,east
1815,3.1860224456615526e+17,yuzu,795,"hey hey, call me yuzu. i’ve been playing this game for over a year but busy life prevented me from collecting carrots for a long time and i dropped the game for awhile so i’m trying to catch up now ;-;",2019-12-26T05:33:48Z,introduction,,,[0. 0. 0. ... 0. 0. 0.],east,east,east,east,east,east,east
1816,6.138521692249786e+17,ScaryGhosts,5037,"Hello! My name is Lindsey. I don’t actually recall how I discovered Tskuki Adventure, but I have been playing since February.",2019-12-25T18:58:40Z,introduction,,,[0. 0. 0. ... 0. 0. 0.],east,east,east,sea,east,east,east
1820,1.287649623310336e+17,kytopMonuist,5223,"hey. i go by kytop. uh, i like to play rhythm games but also this game.",2019-12-22T20:44:50Z,introduction,,,[0. 0. 0. ... 0. 0. 0.],east,east,east,eu,east,east,east
1821,4.000679551336448e+17,WilRei9650,5956,Hello I’m wil from the US. I play this game everyday bc it’s the cutest thing ever and it is very relaxing 😊,2019-12-22T18:51:31Z,introduction,,,[0. 0. 0. ... 0. 0. 0.],east,east,east,east,east,east,sea
1826,5.6418410984138336e+17,copitogris,1021,"hello, i'm Sara! from Colombia! I've been playing Tsuki about... idk, 1/2 years. I think... I justa can say: I LOVE THIS GAME!",2019-12-21T19:28:02Z,introduction,,,[0. 0. 0. ... 0. 0. 0.],east,east,east,east,east,east,eu
1830,4.071673655922524e+17,coolfurri501,133,"Hello, I’m Uzi, from the US and I play this game everyday because it is adorable",2019-12-21T03:58:56Z,introduction,,,[0. 0. 0. ... 0. 0. 0.],east,east,east,east,east,east,east
1831,6.489949673683681e+17,marieasnuvens,385,"oioi, i'm marina and i'm from brazil ( ๑॔˃̶◡ ˂̶๑॓)

..... uh, i don't know what else i could say, i'm horrible with these things (－‸ლ)",2019-12-20T13:52:39Z,introduction,,,[0. 0. 0. ... 0. 0. 0.],east,east,east,eu,east,east,eu
1832,6.417876429331497e+17,Here There Be Dragons,8771,"Hi, I was Dawn but  Wanted to change it once I found  later that there’s an actual character in Tsuki,Meitner mu #",2019-12-20T13:26:31Z,introduction,,,[0. 0. 0. ... 0. 0. 0.],east,east,east,east,east,east,east
1833,2.98113821640491e+17,PoptartKitty,5411,Hey guys I'm Hnuku and I'm from the US! I've been playing tsuki's adventure for a while now and it's such a cute game!💙💙 okey have a nice day guys💙,2019-12-20T06:06:56Z,introduction,,,[0. 0. 0. ... 0. 0. 0.],east,east,east,east,east,east,east
1834,4.981612071493304e+17,Yuilla,4722,"Hi, I’m Yuila from Malaysia.  I’m new in discord, not sure what to say but still I’m happy that I could join this group! Have a nice day and cheers!!",2019-12-20T05:03:29Z,introduction,,,[0. 0. 0. ... 0. 0. 0.],east,east,east,east,east,east,sea
1835,4.188609285792728e+17,Mochimatsu 🌸,6159,"Hello, I'm Mochi! I'm from the U.S. and I happened to come across this app by chance this month. Since then, I've been playing it daily and enjoying it's casual game play immensely. ^^",2019-12-20T04:24:15Z,introduction,,,[0. 0. 0. ... 0. 0. 0.],east,east,east,east,east,east,east
1836,6.25465856373293e+17,CloudCatcher,6107,Heyo! I'm Alyssa. I'm from Texas and have been playing for about 3-４ months. I found Tsuki when scrolling through the appstore,2019-12-20T03:53:49Z,introduction,,,[0. 0. 0. ... 0. 0. 0.],east,east,east,eu,east,east,sea
1837,5.774299536295199e+17,LeoYerk,9550,:3,2019-12-19T21:12:24Z,introduction,,,[0. 0. 0. ... 0. 0. 0.],east,east,east,east,east,east,east
1838,5.774299536295199e+17,LeoYerk,9550,"Hi. I’m Leo
I’m from Armenia
I’ve been playin for 2 months",2019-12-19T21:11:13Z,introduction,,,[0. 0. 0. ... 0. 0. 0.],east,east,east,east,east,east,sea
1840,4.870122337051608e+17,PavelDome,4440,Hello! You can call me Pavel. I’m a huge fan of the game and spend a lot of my free time just watching the cute characters move around. Been playing for a couple of months 🐰🐰,2019-12-17T14:08:22Z,introduction,,,[0. 0. 0. ... 0. 0. 0.],sea,east,east,east,east,east,sea
1841,4.506856515121971e+17,Tjejrasmus,9725,Hello everyone! My name is Emma and I'm from Sweden. I found this game while browsing appstore looking for new stimulating games to play. I've been playing this game for three months or so now.,2019-12-17T11:34:10Z,introduction,,,[0. 0. 0. ... 0. 0. 0.],east,east,east,east,east,east,east
1843,4.597336945595514e+17,exoo,2524,herros! i play tsuki most of the time when i got nothing to do :) nothing much,2019-12-16T19:36:55Z,introduction,,,[0. 0. 0. ... 0. 0. 0.],east,east,east,east,east,east,east
1845,6.544200652649923e+17,jm 🌨,2741,Hello! I’m Justine from Ontario. I randomly found Tsuki on the appstore a month ago and I really love it <:hug:589655063027253288> Nice to meet y’all! <:yaycarrots:558332067306405914>,2019-12-15T03:18:38Z,introduction,,,[0. 0. 0. ... 0. 0. 0.],sea,sea,sea,east,sea,east,sea
1846,4.065662553995346e+17,Sad Sack V,4739,"Hi everyone! I am Veronique et I am from Provence. My english is not the best (francais, s'il te plait!) but I have been playing Tsuki for a few months!",2019-12-13T18:42:18Z,introduction,,,[0. 0. 0. ... 0. 0. 0.],east,east,east,east,east,east,east
1847,3.972919337159229e+17,Bear 🐻,9155,I’m from Korea 🇰🇷 yeah South hhh I’ve been playing tsuki maybe over a year It’s changed really many features more than before!! Nice to meet you all 😆😆,2019-12-13T14:36:26Z,introduction,,,[0. 0. 0. ... 0. 0. 0.],east,east,sea,sea,sea,east,eu
1848,5.339991627321836e+17,kiaralexi,559,Hi I’m Brit from Toronto 🇨🇦 and have been playing Tsuki daily since May. One of my favourite games ever. This is also my first time using discord,2019-12-13T07:40:02Z,introduction,,,[0. 0. 0. ... 0. 0. 0.],east,east,east,east,east,east,east
1853,3.08208353547649e+17,卷鹅立风我老公,599,"Hello, I'm Melissa! I'm from Singapore, and I love this game a lot! <:pepeyay:558328906604740608>",2019-12-12T10:04:33Z,introduction,,,[0. 0. 0. ... 0. 0. 0.],sea,sea,east,sea,east,sea,sea
1854,2.992458207446958e+17,Blacknovelist,8993,"Hi everyone! I'm B, from Canada. I tend to play Tsuki kind of on-off, but I really enjoy it, when I remember!",2019-12-12T05:20:27Z,introduction,,,[0. 0. 0. ... 0. 0. 0.],east,east,sea,east,sea,east,east
1855,6.482514342064947e+17,Paula Del,2023,"Hello, my name is Paula, I am from Argentina and I apologize for my English. I've been playing for two months now, my progress is a bit slow because I try not to disturb Tsuki in his activities 🙄  !! ""He's not a pet"" It's a very special game ... <:entry3:560350894646886441>",2019-12-12T03:14:08Z,introduction,,,[0. 0. 0. ... 0. 0. 0.],east,east,east,east,east,sea,east
1856,6.166567986734039e+17,gelizabee,5563,<:hug:589655063027253288> I want to live in Mushroom Village instead of freezing here in Chicago<:sob:623443731609288715> ! Happy Holidays y’all!  🎄,2019-12-11T23:49:41Z,introduction,,,[0. 0. 0. ... 0. 0. 0.],sea,sea,east,sea,east,east,east
1857,2.405127856357376e+17,glf,1500,"Hello, I am Gabby! I love this game so much. It is very relaxing.",2019-12-11T17:35:16Z,introduction,,,[0. 0. 0. ... 0. 0. 0.],east,east,east,east,east,east,east
1858,6.421981805235405e+17,klastrophy,7711,"Hi, I’m Daniel from Texas. My wife got me into this game and I love it. Such a refreshing experience.",2019-12-10T04:26:11Z,introduction,,,[0. 0. 0. ... 0. 0. 0.],east,east,east,east,east,east,east
1859,3.442634736492872e+17,kimchi,786,"Hi everyone! I’m from Pennsylvania, U.S. I downloaded the game a few weeks ago because I saw my sister-in-law playing it and thought Tsuki was so cute! I’m addicted now!",2019-12-09T14:53:40Z,introduction,,,[0. 0. 0. ... 0. 0. 0.],east,east,east,east,east,east,sea
1860,6.534562975759729e+17,blazerbek,448,Hi! I'm from Mexico. I downloaded Tsuki last month cuz looked cute at the store. Now I play daily and love the game. My fav is Yori. :3,2019-12-09T14:00:41Z,introduction,,,[0. 0. 0. ... 0. 0. 0.],east,east,east,east,east,east,east
1861,6.524210371659039e+17,naden,9016,On and I am from US,2019-12-07T09:30:11Z,introduction,,,[0. 0. 0. ... 0. 0. 0.],east,east,east,east,east,east,east
1862,2.5725334398081437e+17,Tsusagi,3016,"Hello I'm from California, I started playing around Easter and my favorite character is Chi! I hope we get along!",2019-12-07T09:51:24Z,introduction,,,[0. 0. 0. ... 0. 0. 0.],east,east,east,east,east,east,sea
1865,5.6045846760587264e+17,OddJamm,4360,"Hello, I started a few days ago and are new to the game <:entry3:560350894646886441> my mother introduced me here<:hug:589655063027253288> <:Baby:605269238789177345> <:peep:560680122240466944>",2019-12-08T23:38:04Z,introduction,,,[0. 0. 0. ... 0. 0. 0.],east,east,east,east,east,east,east
1866,6.524210371659039e+17,naden,9016,Hello - I started playing a few months ago when I saw that cute bunny face in recommended games. It has been really slow for me because I can only check on Tsuki  at night when everyone is sleeping,2019-12-07T09:04:13Z,introduction,,,[0. 0. 0. ... 0. 0. 0.],east,sea,sea,east,east,east,sea
1867,5.475307919119484e+17,Ashirav,3301,"Oh and also, I am from India 🇮🇳 We have a lot of Tsuki fans here ❤🐇",2019-12-07T05:32:37Z,introduction,,,[0. 0. 0. ... 0. 0. 0.],east,east,east,east,east,east,sea
1868,5.475307919119484e+17,Ashirav,3301,"Hi everyone! It's kind of a late introduction but oh well. I first downloaded this in November 2018 since the images looked cute, but got bored and uninstalled. But again downloaded it this year in June, 2019 and haven't gotten over it since! I am obsessed with Tsuki now! Even bought Club Moon membership! It's a sweet, slow 🐢 game 🎮 I started to take pictures and screen recordings of my favourite moments, but my phone storage started becoming too full. So i created an Instagram fanpage where I paste my favourite pics and videos of this game. And now that I have found discord it's even better here!",2019-12-07T05:04:41Z,introduction,,,[0. 0. 0. ... 0. 0. 0.],east,east,east,east,east,east,east
1869,5.7405811315035354e+17,shooterforpeterparker,6077,hi!! started playing bc i randomly found it on the app store and now i’m obsessed 🥺,2019-12-06T22:23:24Z,introduction,,,[0. 0. 0. ... 0. 0. 0.],east,east,east,east,east,east,sea
1870,2.0691903867112646e+17,Sara,7780,Hello! I started playing because of Taka and another discord friend who introduced it. Love the cute and relaxing atmosphere of the game!,2019-12-04T15:50:23Z,introduction,,,[0. 0. 0. ... 0. 0. 0.],east,east,east,east,east,east,sea
1871,4.855306227444614e+17,Taka,7320,hi everyone ❤️ i started playing this game a few months ago after a friend recommended it to me and i fell in love with the cuteness that is Tsuki in about 3 seconds xD same friend also just introduced me to this discord server so i'm glad to be here!,2019-12-04T15:48:25Z,introduction,,,[0. 0. 0. ... 0. 0. 0.],east,east,east,east,east,east,sea
1872,2.954386055879721e+17,CAT-astrophe,3662,"Hola, my name is Ethan, funnily enough i found out about this game through a background. My friend wanted my to find where it came from and we all started playing it afterwards. Love it!",2019-12-03T01:16:25Z,introduction,,,[0. 0. 0. ... 0. 0. 0.],east,east,east,east,east,east,eu
1873,3.873682438637486e+17,jubileu,1329,Hi I’m jó from Brazil ~ just found this game a few hours ago!,2019-12-02T23:48:44Z,introduction,,,[0. 0. 0. ... 0. 0. 0.],sea,east,east,east,east,east,sea
1874,5.1402250596777984e+17,Rogan~Chan,9044,"Hi, Im from Australia. Been playing tsuki adventures for a while now but haven't gotten very far. Didn't know they had a discord.",2019-12-02T09:28:58Z,introduction,,,[0. 0. 0. ... 0. 0. 0.],east,east,east,eu,east,east,sea
1875,6.070817453842104e+17,KryptonianKid(Superman),5721,Hi I’m from the US. Just started playing Tsuki and using discovered recently.,2019-12-01T11:57:25Z,introduction,,,[0. 0. 0. ... 0. 0. 0.],east,east,east,east,east,sea,east
1876,6.501574237508076e+17,Rhaloei,2175,Hi Im Rh from Malaysia 🇲🇾 . Played tsuki for a year but only found this Discord recently.,2019-12-01T03:58:28Z,introduction,,,[0. 0. 0. ... 0. 0. 0.],east,east,east,east,east,east,east
1877,2.0696425193865216e+17,Unbid,4315,"Oh look, it's We Bare Bears",2020-02-10T11:24:28Z,reference-discussion,,,[0. 0. 0. ... 0. 0. 0.],east,east,east,east,east,east,sea
1878,3.65339110413566e+17,Tabolao,880,"Here in Chile lives a bug in the desert named vinchuca, this bug Is know to be the host of a virus called ""Mal de Chagas"". The desert is also the hábitat of a kind of armadillo, the Quirquincho, one of the affected by the disease of Chagas",2020-02-12T01:31:06Z,reference-discussion,,,[0. 0. 0. ... 0. 0. 0.],east,east,east,east,east,east,east
1879,3.65339110413566e+17,Tabolao,880,It just a coincidence? Or not?,2020-02-12T20:51:13Z,reference-discussion,,,[0. 0. 0. ... 0. 0. 0.],east,east,east,east,east,east,sea
1885,5.5753133190335686e+17,EmmyTheEnvyofHumans'sfriend,3680,"Now that you said that, it really is!!!",2019-12-25T15:04:02Z,reference-discussion,,,[0. 0. 0. ... 0. 0. 0.],east,east,sea,sea,sea,east,east
1886,2.1474404369799578e+17,Fredd8,6409,It's like if Hannibal and Ted Bundy had a baby,2019-12-26T07:21:38Z,reference-discussion,,,[0. 0. 0. ... 0. 0. 0.],east,east,east,eu,east,east,eu
1887,5.475307919119484e+17,Ashirav,3301,What is that huge basket on the table in front of Tsuki? I don't remember buying it...?,2020-01-19T16:29:49Z,reference-discussion,,,[0. 0. 0. ... 0. 0. 0.],east,east,east,east,east,east,east
